"iata,""type"",""name_ru"",""name_en"",""coordinates"",""timezone"",""parent_name_en"""
AGZ,""Аггенейс"",""Aggeneys"",""-29.28:18.81"",""Africa/Johannesburg"",""South Africa""
AHB,""Абха"",""Abha"",""18.2202208:42.5081599"",""Asia/Riyadh"",""Saudi Arabia""
AHC,""Херлонг"",""Herlong"",""40.1435142:-120.1346519"",""America/Los_Angeles"",""United States""
AHD,""Ардмор"",""Ardmore"",""34.1742611:-97.1436254"",,""United States""
AHE,""Ахе"",""Ahe"",""-14.4311181:-146.2803612"",""Pacific/Tahiti"",""French Polynesia""
AHF,""Арапахо"",""Arapahoe"",""40.3038889:-99.8997222"",""America/New_York"",""United States""
AHH,""Амери"",""Amery"",""45.3069062:-92.3621369"",""America/Chicago"",""United States""
AHI,""Амахаи"",""Amahai"",""-3.35:128.93"",""Asia/Jayapura"",""Indonesia""
AHL,""Аишалтон"",""Aishalton"",""2.47:-59.32"",""America/Guyana"",""Guyana""
AHN,""Атина"",""Athens"",""33.955802:-83.3823656"",""America/Chicago"",""United States""
AHO,""Альгеро"",""Alghero"",""40.5579814:8.3222037"",""Europe/Rome"",""Italy""
AHS,""Ауас"",""Ahuas"",""15.4610734:-84.2771737"",""America/Tegucigalpa"",""Honduras""
AHT,""Амчитка"",""Amchitka"",""51.5422222:178.9833333"",""Pacific/Honolulu"",""United States""
AHU,""Эль-Хосейма"",""Al Hoceima"",""35.249299:-3.937112"",""Africa/Casablanca"",""Morocco""
AHY,""Амбатолахи"",""Ambatolahy"",""-20.0:45.53"",""Indian/Antananarivo"",""Madagascar""
AHZ,""Альп-д'Юэз"",""Alpe D Huez"",""45.09:6.08"",""Europe/Paris"",""France""
AIA,""Альянс"",""Alliance"",""42.1016344:-102.872145"",""America/Chicago"",""United States""
AIB,""Залив Анита"",""Anita Bay"",""56.2012215:-132.433335"",""America/Juneau"",""United States""
AIC,""Аирок"",""Airok"",""7.1:171.23"",""Pacific/Kwajalein"",""Marshall Islands""
AID,""Андерсон"",""Anderson"",""40.1053196:-85.6802541"",""America/Chicago"",""United States""
AIE,""Айоме"",""Aiome"",""-5.13:144.72"",""Pacific/Port_Moresby"",""Papua New Guinea""
AIF,""Ассис"",""Assis"",""-22.6606373:-50.404369"",""America/Fortaleza"",""Brazil""
AIG,""Ялинга"",""Yalinga"",""6.52:23.26"",""Africa/Bangui"",""Central African Republic""
AIH,""Аимбак"",""Aiambak"",""-7.35:141.267"",,""Papua New Guinea""
AII,""Али Сабье"",""Alisabieh"",""11.15164:42.712231"",""Africa/Djibouti"",""Djibouti""
AIK,""Айкен"",""Aiken"",""33.5604168:-81.7195533"",""America/Chicago"",""United States""
AIL,""Аилиганди"",""Ailigandi"",""9.22:-78.02"",""America/Panama"",""Panama""
AIM,""Аилук"",""Ailuk Island"",""10.304809:169.9416549"",""Pacific/Kwajalein"",""Marshall Islands""
AIN,""Уэйнрайт"",""Wainwright"",""70.6369444:-160.0383333"",""America/Chicago"",""United States""
AIO,""Атлантик"",""Atlantic"",""41.4036007:-95.0138776"",""America/New_York"",""United States""
AIP,""Аилинглапалап"",""Ailinglapalap Island"",""7.4253719:168.792953"",""-12.0"",""Marshall Islands""
AIR,""Арипуанан"",""Aripuana"",""-10.19:-59.46"",""America/Cuiaba"",""Brazil""
AIS,""Арораэ"",""Arorae Island"",""-2.6421817:176.8295645"",""Pacific/Tarawa"",""Kiribati""
AIT,""Аитутаки"",""Aitutaki"",""-18.8717854:-159.7823059"",""Pacific/Rarotonga"",""Cook Islands""
AIU,""Атиу"",""Atiu Island"",""-19.9977887:-158.1073697"",""Pacific/Rarotonga"",""Cook Islands""
AIV,""Алисевилл"",""Aliceville"",""33.1295681:-88.1514166"",""America/North_Dakota/New_Salem"",""United States""
AIW,""Аи-Айс"",""Ai-ais"",""-27.98:17.58"",""Africa/Windhoek"",""Namibia""
AIZ,""Кайзер (Лейк Озарк)"",""Kaiser (Lake Ozark)"",""38.1336451:-92.5899056"",""America/North_Dakota/New_Salem"",""United States""
AJA,""Аяччо"",""Ajaccio"",""41.919229:8.738635"",""Europe/Paris"",""France""
AJF,""Сакака Аль-Джуф"",""Sakaka Al Jouf"",""29.79:40.1"",""Asia/Riyadh"",""Saudi Arabia""
